videoID,ID,Religion_PRED,Race_PRED,Gender_PRED,Gender Identity/Sexual Orientation_PRED,Immigration_PRED,Ethnicity/Identitarian/Nationalism_PRED,Anti-semitism_PRED,n_flavors,predicted_at,Active_Columns,Label,TAGS,GroupedTAGS
#NAME?.orig,2 - 2,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,,Mainstream News
--PbLmnexNQ,3 - 12,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight,AntiSJW
-1DP_2zJprQ,13 - 22,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT,LGBT
-1yxVAGK-YQ,23 - 24,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|WhiteIdentitarian,White Identitarian
-4SuuIcDmug,25 - 56,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
-8r_sMRiakE,57 - 59,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,PartisanLeft|SocialJustice,Social Justice
-9hb6UeBnNk,331 - 353,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
-E8_lkNNIbc,316 - 316,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
-GlK_8qAM8Q,330 - 330,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
-HLzbkIQQ88,435 - 437,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight|WhiteIdentitarian,White Identitarian
-JhwQ4qLg9E,438 - 438,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,LGBT|SocialJustice,LGBT
-KvXpmR-LCg,439 - 446,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
-Lp45toYXuM,450 - 456,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
-Mr-iOZX-64,457 - 512,0,1,0,0,0,0,1,2,2023-08-10T14:52:22,"Race_PRED, Anti-semitism_PRED",Hate,WhiteIdentitarian,White Identitarian
-MsevaVWWq0,513 - 521,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
-NjiWqI-P5s,21787 - 21800,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|LGBT,LGBT
-TrKczSHjdI,21841 - 21843,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
-UMZF_Pk06k,21844 - 21844,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanLeft|SocialJustice,Social Justice
-V3cG4fec-Y,21877 - 21878,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,Black|SocialJustice,Social Justice
-WmJfpIBKaY,21963 - 21964,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
-Y-KgDyqVak,21977 - 21983,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
-ZFPxGzhGQ8,22065 - 22091,0,0,1,1,0,0,0,2,2023-08-10T14:52:22,"Gender_PRED, Gender Identity/Sexual Orientation_PRED",Hate,LGBT|SocialJustice,LGBT
-aE2RIyWJKo,60 - 68,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW|WhiteIdentitarian,White Identitarian
-c6NOTnupHY,69 - 311,0,1,1,0,1,1,1,5,2023-08-10T14:52:22,"Race_PRED, Gender_PRED, Immigration_PRED, Ethnicity/Identitarian/Nationalism_PRED, Anti-semitism_PRED",Hate,WhiteIdentitarian,White Identitarian
-cDyJC7XukE,312 - 315,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
-fxbtQkAXO0,317 - 320,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,Mainstream News|PartisanLeft|SocialJustice,Social Justice
-gHIyERR2jo,321 - 329,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|WhiteIdentitarian,White Identitarian
-kW0eR5jOQ0,447 - 449,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,MissingLinkMedia|PartisanLeft|SocialJustice,Social Justice
-roa8M8hT-E,21801 - 21807,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,LGBT|SocialJustice,LGBT
-sja01eWT7g,21808 - 21840,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight|ReligiousConservative|WhiteIdentitarian,White Identitarian
-v-do0lbd34,21845 - 21876,0,1,1,0,0,1,0,3,2023-08-10T14:52:22,"Race_PRED, Gender_PRED, Ethnicity/Identitarian/Nationalism_PRED",Hate,PartisanLeft|SocialJustice,Social Justice
-vBKaL4aMLo,21879 - 21912,0,1,0,1,0,1,1,4,2023-08-10T14:52:22,"Race_PRED, Gender Identity/Sexual Orientation_PRED, Ethnicity/Identitarian/Nationalism_PRED, Anti-semitism_PRED",Hate,AntiSJW|LGBT,LGBT
-wjl4FitFcI,21913 - 21962,1,0,0,0,0,0,1,2,2023-08-10T14:52:22,"Religion_PRED, Anti-semitism_PRED",Hate,AntiSJW|PartisanRight|ReligiousConservative,AntiSJW
-xVS3TzEOug,21965 - 21976,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
-yUIqXqNFKQ,22046 - 22052,0,1,0,1,0,0,0,2,2023-08-10T14:52:22,"Race_PRED, Gender Identity/Sexual Orientation_PRED",Hate,AntiSJW,AntiSJW
-yYGBz2n_fw,22053 - 22054,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,WhiteIdentitarian,White Identitarian
-yeIyIcjaNQ,21984 - 22045,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
-yze96D5Yew,22055 - 22055,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
-z5FWuwtfcQ,22056 - 22064,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
00vldMi0jFQ,22092 - 22114,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,SocialJustice,Social Justice
03K8zd5Zhvg,22115 - 22121,0,0,1,0,0,0,0,1,2023-08-10T14:52:22,Gender_PRED,Hate,AntiSJW|PartisanRight|ReligiousConservative|WhiteIdentitarian,White Identitarian
05xFWwg7ER8,40550 - 40624,0,1,0,0,0,0,0,1,2023-08-10T14:52:22,Race_PRED,Hate,Black|SocialJustice,Social Justice
